,vaga,empresa,cidade,link
13,Auxiliar de Operações,KPMG,"Taquarivaí, SP",https://www.indeed.com.br/cmp/KPMG/jobs/Auxiliar-Opera%C3%A7%C3%B5es-a8cb0bd9fe0cc5c9?sjdu=Zzi_VW2ygsY1fzh3Ma9ZsE4zIT1NTXCwgFBhdjeTC3MzqTZm0DMcalQoIM0L7Gw9_maqLifPvsen4oBBKlQGlw&vjs=3
12,Analista Financeiro,ICOBIT IMPERMEABILIZANTES LTDA,"São Paulo, SP",https://www.indeed.com.br/cmp/ICOBIT-IMPERMEABILIZANTES-LTDA/jobs/Analista-Financeiro-e9d80225810df4df?sjdu=QwrRXKrqZ3CNX5W-O9jEvW21guO1sIF_6B0yTE8K9FsQt2n5hKk-IgqjxExy5HBoYZo9ZsyYjlb9ep2Xq_v8vgCRhe0p55ZN3_ty5KeZDnw&vjs=3
11,Analista Financeiro,Confidencial Serviços LTDA,"São Paulo, SP",https://www.indeed.com.br/cmp/Confidencial-Servi%C3%A7os-LTDA/jobs/Analista-Financeiro-57d32b0ef111a688?sjdu=QwrRXKrqZ3CNX5W-O9jEvW21guO1sIF_6B0yTE8K9FsQt2n5hKk-IgqjxExy5HBocjdHr-4OZpa1Kggjn4K5Muz0zeSTdp_UDdj5syYlXWw&vjs=3
10,Estagiário Financeiro,Hora da Despedida,"São Paulo, SP",https://www.indeed.com.br/cmp/Hora-da-Despedida/jobs/Estagi%C3%A1rio-Financeiro-002c2a35d4465384?sjdu=QwrRXKrqZ3CNX5W-O9jEveKQVK3UvlMjsxdtrgX92pawsVjdhhkqizbHhAMY7XMBIgUbkF_ha0jmsvIo-IHp-vy-yaYFcCvC5Jfxxd0z14g&vjs=3
9,Supervisor de Loja - Franca,Movida,"Franca, SP",https://www.indeed.com.br/rc/clk?jk=e4cbe490df66a116&from=vj&pos=top&spon=1
8,Auxiliar de Operações,KPMG,"Taquarivaí, SP",https://www.indeed.com.br/cmp/KPMG/jobs/Auxiliar-Opera%C3%A7%C3%B5es-a8cb0bd9fe0cc5c9?vjs=3
7,Caixa,Alluri Sports,"Zona Norte de São Paulo, SP",https://www.indeed.com.br/cmp/ALLURI---UNIFORMES/jobs/Caixa-38d4214dc063412d?vjs=3
6,Caixa - Itaú Agências,Itaú Unibanco,"Monte Azul Paulista, SP",https://www.indeed.com.br/cmp/Ita%C3%BA-Unibanco/jobs/Caixa-09a151c64e225ff5?vjs=3
5,CAIXA,Recruta Mais,"Bauru, SP",https://www.indeed.com.br/rc/clk?jk=1e671e3b614ac6d2&from=vj&pos=top
4,Financeiro - Caixa,Assess Casa Móveis e Decorações,"Santa Cruz do Rio Pardo, SP",https://www.indeed.com.br/cmp/Assess-Casa-Ourinhos/jobs/Financeiro-401d00c743a8c111?vjs=3
3,Operador de Caixa,TALCHÁ,"São Paulo, SP",https://www.indeed.com.br/cmp/Talch%C3%A1/jobs/Operador-Caixa-c65ac5b0f7ae2ac2?vjs=3
2,AUXILIAR ADMINISTRATIVO,Recruta Mais,"Campinas, SP",https://www.indeed.com.br/rc/clk?jk=44871c879f927184&from=vj&pos=top
1,Caixa - Batatais SP,Sicredi,"Batatais, SP",https://www.indeed.com.br/rc/clk?jk=6327a3a8d958271c&from=vj&pos=top
0,Atendente de Loja,Varejo Farmacêutico,"Barueri, SP",https://www.indeed.com.br/cmp/Varejo-Farmac%C3%AAutico/jobs/Atendente-Loja-03f482d31b1d242c?vjs=3
